Class	name	compound	medium	mass	units	cheb_name	cheb_mass	mmol_per_L	dynamic
Minerals	CuSO4 (anhydrous) + multiple	cu2	M5	10000.12	mg	copper(2+)	63.546	157.36820570925	0
Buffer	KH2PO4 + K2HPO4	pi	M5	20.089	g	phosphate(3-)	94.97136	211.52692769693934	0
Minerals	H3BO3 + Thiamine HCl + Pyridoxamine . 2 HCl + KH2PO4 + K2HPO4	h	M5	26.399	mg	hydron	1.00794	26.191043117645894	0
Minerals	Na2MoO4 . 2H2O + (NH4)6Mo7O24·4H2O	mobd	M5	0.29000000000000004	mg	molybdate	159.9376	0.001813207150788808	1
Minerals	MgCl2 + MgSO4 * 7 H2O	mg2	M5	30.386	g	magnesium(2+)	24.305	1250.1954330384694	0
Other	Hematin + Hemin	pheme	M5	1.7	mg	ferroheme b	616.487	0.002757560175640362	1
Minerals	Ammonium citrate dibasic + (NH4)6Mo7O24·4H2O	nh4	M5	1.89	g	ammonia	17.03056	110.97697315883916	1
Vitamins	Calcium Pantothenate + CaCl2 (anhydrous)	ca2	M7	31.4	mg	calcium(2+)	40.078	0.7834722291531512	0
Minerals	NaCl + FeCl3 + Thiamine HCl + Pyridoxamine . 2 HCl + MgCl2 + NiCl2 . 6H2O + CaCl2 (anhydrous) + CoCl2·6H2O	cl	M7	42.54599999999999	g	chloride	35.4527	1200.0778502060489	0
manual curation	multiple + NiCl2 . 6H2O	ni2	M7	10000.2	g	nickel(2+)	58.6934	170380.31533358098	0
Minerals	NaCl + NaHCO3 + Na2MoO4 . 2H2O + Na2SeO3 (anhydrous) + Na2WO4 . 2H2O	na1	M7	13.61	g	sodium(1+)	22.98977	592.0024428256568	0
Minerals	K2SO4 + MgSO4 * 7 H2O + MnSO4 * H2O + CuSO4 (anhydrous) + FeSO4 . 7H2O + ZnSO4 * 7 H2O + AlK(SO4)2 (anhydrous)	so4	M7	67.22	mg	sulfate	96.0636	0.6997447524348454	1
Minerals	KI + K2SO4 + KH2PO4 + K2HPO4 + KCH3CO2 (Potassium acetate) + AlK(SO4)2 (anhydrous)	k	M7	44.199	mg	potassium(1+)	39.0983	1.1304583575244957	0
manual curation	multiple + CoCl2·6H2O + Co(NO3)2 . 6H2O	cobalt2	M7	10001.19	g	cobalt(2+)	58.9332	169703.83417157055	0
manual curation	multiple + ZnSO4 * 7 H2O	zn2	M7	10005.0	g	zinc(2+)	65.39	153005.04664321762	0
Minerals	MnSO4 * H2O + multiple	mn2	M7	10005.0	mg	manganese(2+)	54.93805	182.1142177416199	0
Minerals	FeCl3 + multiple	fe3	M7	10003.0	mg	iron(3+)	55.845	179.12078073238428	0
manual curation	multiple + CuSO4 (anhydrous)	cu2	M7	10000.12	g	copper(2+)	63.546	157368.20570925003	0
Buffer	K2HPO4 + KH2PO4	pi	M7	20.089	g	phosphate(3-)	94.97136	211.52692769693934	0
Minerals	H3BO3 + K2HPO4 + Thiamine HCl + Pyridoxamine . 2 HCl + KH2PO4	h	M7	26.399	mg	hydron	1.00794	26.191043117645894	0
Minerals	(NH4)6Mo7O24·4H2O + Na2MoO4 . 2H2O	mobd	M7	0.29000000000000004	mg	molybdate	159.9376	0.001813207150788808	1
