community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	L_plantarum	M_murein4p4p_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_murein4px4p_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_murein4px4px4p_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_murein5p3p_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_murein5p4p_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_murein5p5p5p_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_murein5p5p_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_murein5px3p_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_murein5px4p_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_murein5px4px4p_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_nh4_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_nmn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_no2_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_no3_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_o2_e	1.0	0.01	0	0.0
all	minimal	L_lactis	L_plantarum	M_orn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_pi_e	1.0	0.13	1	0.13
all	minimal	L_lactis	L_plantarum	M_pnto__R_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_pro__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_ptrc_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_pyr_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_raffin_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_rbt_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_rib__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ribflv_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_rmn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_s_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_salchs4_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_salchs4fe_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_salcn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_sbt__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ser__D_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_ser__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_so4_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_spmd_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_succ_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_sucr_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_tartr__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_thm_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_thr__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_thymd_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_tre_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_uaagmda_e	1.0	0.82	0	0.0
all	minimal	L_lactis	L_plantarum	M_udcpdp_e	1.0	0.06	1	0.06
all	minimal	L_lactis	L_plantarum	M_udcpo5_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_udcpp_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_ura_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_urate_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_urea_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_uri_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_val__L_e	1.0	1.0	1	1.0
all	minimal	L_lactis	L_plantarum	M_xan_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_xyl__D_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_zn2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_12ppd__S_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_14glucan_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_23camp_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_23ccmp_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_23cgmp_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_23cump_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_26dap__M_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_2hxmp_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_2pglyc_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_3hcinnm_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_3hpppn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_3oxoadp_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_4abut_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_4abz_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_4hphac_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_5mtr_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_LalaDgluMdapDala_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_LalaDgluMdap_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_abt__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ac_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_acald_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_acmum_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_acnam_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_actn__R_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ade_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_adn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_akg_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ala_B_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ala__D_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_ala__L_e	1.0	0.0	1	0.0
